corriente_mA,voltaje_V
2.0,16.0
0.0,400805.0
0.0,0.0
0.0,0.0
-0.0036630036,0.0008058608
-0.007326008,0.014505494
-0.014652023,0.028205128
-0.018315016,0.03948718
-0.03663003,0.05157509
-0.0476190816,0.06446887
-0.04761903,0.07333333
-0.047619068,0.086227108
-0.04761903,0.09589743
-0.03663003,0.107179484
-0.0476191,0.11846154
-0.08791214,0.13296704
-0.08058608,0.1458608
-0.04761903,0.15472527
-0.018315016,0.16358973
-0.05494505,0.18131868
-0.05494505,0.19260074
-0.040293008,0.20227106
-0.03663003,0.21355312
-0.05494505,0.23047618
-0.058608092,0.240952384
-0.021977992,0.24578754
-0.051282212,0.26190478
-0.0402931468,0.2715751
0.032966924,0.283663
-0.029303946,0.29655676
-0.043955984,0.30783884
-0.03663003,0.32153844
-0.062271008,0.33523808
-0.029303946,0.347325984
-0.0402931468,0.35699636
-0.043955984,0.3634432
-0.014651906,0.376337
-0.014652177,0.38520148
-0.0402928736,0.39970692
-0.025640968,0.41179484
-0.014651906,0.42630036
-0.05494505,0.441611736
-0.0402931468,0.448864436
0.032967056,0.46095236
-0.021978128,0.46578756
-0.014652177,0.48593408
0.014651906,0.4915751
-0.0109892,0.50446884
-0.021977858,0.5205861
0.0,0.52945052
0.0,0.5463736
-0.0036632472,0.556044
0.058608164,0.567326
0.0,0.5802198
-0.040293008,0.5906959
0.0,0.6060073
0.047619236,0.6221245
-0.014651906,0.6301831
-0.010988929,0.6398535
-0.014651906,0.65677652
-0.010988929,0.6640293
0.0,0.67772892
0.0109892,0.68336992
0.018315154,0.6970696
0.014651906,0.7099634
0.018315154,0.7268864
0.06959682,0.7438095
-0.021978128,0.7607326
0.051281936,0.762344368
0.054944912,0.781685
0.1135528,0.7865202
-0.021977858,0.8098901
0.025640834,0.8147253
0.014651906,0.8324542
-0.00366270536,0.84373624
0.014652177,0.851794832
0.014652177,0.86630032
0.1135528,0.87516488
0.095237928,0.88725272
-0.0036629764,0.903369968
0.010988929,0.914652
-0.014652177,0.9275458
-0.0036632472,0.9420513
0.032967056,0.95252744
0.018315154,0.9654212
0.054944912,0.97186816
0.04029274,0.9879854
0.047619236,0.9944322
0.08424954,1.0145787
0.029303812,1.0274725
0.03296679,1.0371429
0.018314882,1.0460073
0.029304354,1.0629304
0.06227114,1.0701832
0.025640834,1.0854945
0.03296679,1.0975824
0.043956256,1.1064469
0.069597096,1.1217582
0.04029328,1.1273992
0.08058656,1.1354578
0.106226856,1.1499634
0.010989471,1.1717216
0.058608164,1.1733333
0.12087876,1.1854212
0.036629764,1.2015384
0.007325411,1.2224909
0.029304354,1.2208791
0.0,1.2369963
0.102564424,1.2369963
0.069597096,1.2563369
0.003663518,1.2764834
0.051282212,1.2861538
0.12454174,1.2893773
0.051282212,1.3079121
0.080586016,1.3183882
0.054945184,1.3336996
0.018315424,1.3498168
0.04761869,1.3578755
0.043955716,1.3699634
0.091574948,1.3804395
0.03296679,1.3981684
0.014651906,1.4102564
0.0,1.429597
0.07692304,1.423956
0.054945184,1.4400732
0.043955716,1.4561905
0.091574948,1.4569963
0.0989009,1.4690843
0.106226856,1.4739194
0.06227168,1.4948717
0.164835,1.5126008
0.23443156,1.5085715
0.21611724,1.5230769
0.30402924,1.5238828
0.29304024,1.5343588
0.30402924,1.5391941
0.31501868,1.5480585
0.2747254,1.5601464
0.34432194,1.5609524
0.39194064,1.5569232
0.47252664,1.5593407
0.49816856,1.5561172
0.5494508,1.5601464
0.5347983,1.5714285
0.6227108,1.5601464
0.684982,1.5601464
0.6703296,1.5722344
0.75091608,1.5738461
0.73992664,1.5835165
0.7838823,1.5770696
0.8754578,1.5851282
0.8901097,1.5835165
0.934066,1.585934
0.98168472,1.5891576
1.0402934,1.5899633
1.0402934,1.5883516
1.1135529,1.5972161
1.2234433,1.5875458
1.2087914,1.6012454
1.274725,1.5883516
1.3113558,1.5988277
1.3479861,1.5988277
1.3040288,1.6076924
1.4139198,1.5947984
1.4468865,1.6117216
1.5128206,1.6044688
1.5641029,1.5988277
1.5824177,1.6076924
